V4_0,calendar-years,time,admin-geography,geography,mid-year-pop-age,age,mid-year-pop-sex,sex
205,2017,2017,E06000002,Middlesbrough,86,86,1,Male
671,2017,2017,E06000001,Hartlepool,55,55,1,Male
1950,2017,2017,E06000002,Middlesbrough,31,31,0,All
1261,2017,2017,E06000001,Hartlepool,57,57,0,All
584,2017,2017,E06000001,Hartlepool,35,35,2,Female
515,2017,2017,E06000001,Hartlepool,40,40,2,Female
717,2017,2017,E06000001,Hartlepool,54,54,2,Female
1909,2017,2017,E06000003,Redcar and Cleveland,59,59,0,All
1040,2017,2017,E06000002,Middlesbrough,72,72,0,All
683,2017,2017,E06000001,Hartlepool,56,56,1,Male
531,2017,2017,E06000001,Hartlepool,66,66,1,Male
1618,2017,2017,E06000002,Middlesbrough,13,13,0,All
1731,2017,2017,E06000002,Middlesbrough,58,58,0,All
456,2017,2017,E06000002,Middlesbrough,85,85,0,All
867,2017,2017,E06000002,Middlesbrough,18,18,1,Male
1473,2017,2017,E06000002,Middlesbrough,70,70,0,All
1779,2017,2017,E06000002,Middlesbrough,10,10,0,All
566,2017,2017,E06000001,Hartlepool,69,69,2,Female
653,2017,2017,E06000001,Hartlepool,25,25,2,Female
1381,2017,2017,E06000001,Hartlepool,56,56,0,All
526,2017,2017,E06000001,Hartlepool,63,63,1,Male
611,2017,2017,E06000001,Hartlepool,45,45,2,Female
514,2017,2017,E06000002,Middlesbrough,73,73,2,Female
549,2017,2017,E06000001,Hartlepool,90+,90+,2,Female
1728,2017,2017,E06000002,Middlesbrough,57,57,0,All
2433,2017,2017,E06000002,Middlesbrough,20,20,0,All
2390,2017,2017,E06000002,Middlesbrough,23,23,0,All
565,2017,2017,E06000001,Hartlepool,3,3,1,Male
1696,2017,2017,E06000002,Middlesbrough,47,47,0,All
915,2017,2017,E06000003,Redcar and Cleveland,5,5,1,Male
2124,2017,2017,E06000002,Middlesbrough,27,27,0,All
799,2017,2017,E06000002,Middlesbrough,47,47,1,Male
153,2017,2017,E06000001,Hartlepool,85,85,1,Male
1123,2017,2017,E06000001,Hartlepool,4,4,0,All
1061,2017,2017,E06000001,Hartlepool,67,67,0,All
1148,2017,2017,E06000001,Hartlepool,11,11,0,All
1001,2017,2017,E06000001,Hartlepool,43,43,0,All
567,2017,2017,E06000001,Hartlepool,76,76,0,All
689,2017,2017,E06000001,Hartlepool,75,75,0,All
458,2017,2017,E06000001,Hartlepool,83,83,0,All
1212,2017,2017,E06000001,Hartlepool,59,59,0,All
93019,2017,2017,E06000001,Hartlepool,total,Total,0,All
303,2017,2017,E06000001,Hartlepool,87,87,0,All
607,2017,2017,E06000001,Hartlepool,5,5,1,Male
1096,2017,2017,E06000001,Hartlepool,1,1,0,All
890,2017,2017,E06000002,Middlesbrough,9,9,2,Female
592,2017,2017,E06000001,Hartlepool,17,17,2,Female
1320,2017,2017,E06000002,Middlesbrough,67,67,0,All
69471,2017,2017,E06000002,Middlesbrough,total,Total,1,Male
795,2017,2017,E06000002,Middlesbrough,14,14,1,Male
1842,2017,2017,E06000002,Middlesbrough,54,54,0,All
960,2017,2017,E06000002,Middlesbrough,27,27,2,Female
492,2017,2017,E06000001,Hartlepool,66,66,2,Female
1651,2017,2017,E06000002,Middlesbrough,36,36,0,All
507,2017,2017,E06000001,Hartlepool,0,0,1,Male
626,2017,2017,E06000001,Hartlepool,57,57,2,Female
636,2017,2017,E06000001,Hartlepool,47,47,2,Female
1844,2017,2017,E06000002,Middlesbrough,30,30,0,All
1040,2017,2017,E06000003,Redcar and Cleveland,53,53,1,Male
2163,2017,2017,E06000002,Middlesbrough,26,26,0,All
850,2017,2017,E06000002,Middlesbrough,79,79,0,All
610,2017,2017,E06000001,Hartlepool,32,32,2,Female
818,2017,2017,E06000002,Middlesbrough,78,78,0,All
895,2017,2017,E06000002,Middlesbrough,90+,90+,0,All
894,2017,2017,E06000002,Middlesbrough,18,18,2,Female
380,2017,2017,E06000004,Stockton-on-Tees,87,87,2,Female
839,2017,2017,E06000002,Middlesbrough,49,49,1,Male
511,2017,2017,E06000001,Hartlepool,43,43,2,Female
563,2017,2017,E06000001,Hartlepool,18,18,2,Female
681,2017,2017,E06000002,Middlesbrough,65,65,2,Female
962,2017,2017,E06000002,Middlesbrough,28,28,2,Female
995,2017,2017,E06000002,Middlesbrough,5,5,1,Male
866,2017,2017,E06000002,Middlesbrough,60,60,2,Female
798,2017,2017,E06000002,Middlesbrough,12,12,2,Female
368,2017,2017,E06000001,Hartlepool,80,80,2,Female
882,2017,2017,E06000002,Middlesbrough,57,57,2,Female
525,2017,2017,E06000001,Hartlepool,24,24,1,Male
1756,2017,2017,E06000002,Middlesbrough,59,59,0,All
635,2017,2017,E06000001,Hartlepool,59,59,2,Female
368,2017,2017,E06000001,Hartlepool,73,73,2,Female
786,2017,2017,E06000003,Redcar and Cleveland,33,33,2,Female
1746,2017,2017,E06000002,Middlesbrough,50,50,0,All
188,2017,2017,E06000002,Middlesbrough,88,88,2,Female
2102,2017,2017,E06000002,Middlesbrough,29,29,0,All
1183,2017,2017,E06000002,Middlesbrough,24,24,2,Female
416,2017,2017,E06000001,Hartlepool,72,72,2,Female
991,2017,2017,E06000002,Middlesbrough,55,55,1,Male
452,2017,2017,E06000002,Middlesbrough,76,76,2,Female
529,2017,2017,E06000002,Middlesbrough,71,71,1,Male
385,2017,2017,E06000001,Hartlepool,75,75,2,Female
603,2017,2017,E06000001,Hartlepool,26,26,2,Female
743,2017,2017,E06000002,Middlesbrough,64,64,2,Female
1511,2017,2017,E06000003,Redcar and Cleveland,22,22,0,All
1596,2017,2017,E06000003,Redcar and Cleveland,32,32,0,All
946,2017,2017,E06000002,Middlesbrough,2,2,2,Female
1957,2017,2017,E06000002,Middlesbrough,5,5,0,All
71168,2017,2017,E06000002,Middlesbrough,total,Total,2,Female
1711,2017,2017,E06000002,Middlesbrough,49,49,0,All
1713,2017,2017,E06000003,Redcar and Cleveland,6,6,0,All
1464,2017,2017,E06000002,Middlesbrough,63,63,0,All
1761,2017,2017,E06000002,Middlesbrough,18,18,0,All
726,2017,2017,E06000002,Middlesbrough,64,64,1,Male
730,2017,2017,E06000002,Middlesbrough,41,41,1,Male
965,2017,2017,E06000003,Redcar and Cleveland,46,46,2,Female
1113,2017,2017,E06000002,Middlesbrough,71,71,0,All
1265,2017,2017,E06000003,Redcar and Cleveland,75,75,0,All
1985,2017,2017,E06000002,Middlesbrough,55,55,0,All
1587,2017,2017,E06000003,Redcar and Cleveland,65,65,0,All
897,2017,2017,E06000002,Middlesbrough,47,47,2,Female
1754,2017,2017,E06000003,Redcar and Cleveland,60,60,0,All
314,2017,2017,E06000002,Middlesbrough,81,81,1,Male
1839,2017,2017,E06000002,Middlesbrough,32,32,0,All
497,2017,2017,E06000001,Hartlepool,39,39,2,Female
402,2017,2017,E06000003,Redcar and Cleveland,88,88,0,All
1420,2017,2017,E06000003,Redcar and Cleveland,34,34,0,All
906,2017,2017,E06000002,Middlesbrough,50,50,2,Female
1180,2017,2017,E06000003,Redcar and Cleveland,77,77,0,All
1668,2017,2017,E06000003,Redcar and Cleveland,4,4,0,All
1688,2017,2017,E06000002,Middlesbrough,60,60,0,All
837,2017,2017,E06000003,Redcar and Cleveland,46,46,1,Male
673,2017,2017,E06000002,Middlesbrough,82,82,0,All
903,2017,2017,E06000002,Middlesbrough,75,75,0,All
780,2017,2017,E06000002,Middlesbrough,15,15,1,Male
816,2017,2017,E06000002,Middlesbrough,61,61,2,Female
979,2017,2017,E06000002,Middlesbrough,32,32,2,Female
586,2017,2017,E06000002,Middlesbrough,84,84,0,All
2317,2017,2017,E06000004,Stockton-on-Tees,12,12,0,All
1469,2017,2017,E06000002,Middlesbrough,64,64,0,All
979,2017,2017,E06000003,Redcar and Cleveland,55,55,1,Male
1646,2017,2017,E06000003,Redcar and Cleveland,11,11,0,All
286,2017,2017,E06000003,Redcar and Cleveland,84,84,1,Male
1027,2017,2017,E06000003,Redcar and Cleveland,80,80,0,All
1085,2017,2017,E06000002,Middlesbrough,22,22,2,Female
1602,2017,2017,E06000002,Middlesbrough,44,44,0,All
1817,2017,2017,E06000002,Middlesbrough,11,11,0,All
2152,2017,2017,E06000003,Redcar and Cleveland,54,54,0,All
649,2017,2017,E06000003,Redcar and Cleveland,42,42,1,Male
1289,2017,2017,E06000003,Redcar and Cleveland,90+,90+,0,All
270,2017,2017,E06000002,Middlesbrough,85,85,2,Female
876,2017,2017,E06000002,Middlesbrough,33,33,1,Male
806,2017,2017,E06000003,Redcar and Cleveland,27,27,1,Male
902,2017,2017,E06000002,Middlesbrough,11,11,1,Male
885,2017,2017,E06000003,Redcar and Cleveland,49,49,1,Male
902,2017,2017,E06000002,Middlesbrough,35,35,2,Female
427,2017,2017,E06000002,Middlesbrough,74,74,1,Male
1404,2017,2017,E06000003,Redcar and Cleveland,1,1,0,All
1563,2017,2017,E06000003,Redcar and Cleveland,7,7,0,All
834,2017,2017,E06000002,Middlesbrough,34,34,1,Male
1273,2017,2017,E06000002,Middlesbrough,23,23,1,Male
1480,2017,2017,E06000004,Stockton-on-Tees,53,53,2,Female
1633,2017,2017,E06000003,Redcar and Cleveland,28,28,0,All
807,2017,2017,E06000003,Redcar and Cleveland,4,4,2,Female
826,2017,2017,E06000003,Redcar and Cleveland,45,45,1,Male
927,2017,2017,E06000003,Redcar and Cleveland,45,45,2,Female
923,2017,2017,E06000002,Middlesbrough,31,31,2,Female
1595,2017,2017,E06000002,Middlesbrough,61,61,0,All
1775,2017,2017,E06000002,Middlesbrough,34,34,0,All
1059,2017,2017,E06000003,Redcar and Cleveland,54,54,1,Male
675,2017,2017,E06000003,Redcar and Cleveland,20,20,2,Female
1497,2017,2017,E06000003,Redcar and Cleveland,33,33,0,All
